,1A,2A,3A,1B,2B,3B,1C,2C,3C
126,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,181.45877715137783,999.0
127,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,182.4820933562608,999.0
128,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,183.50578567086782,999.0
129,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,184.52984471231377,999.0
130,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,185.55426113094762,999.0
131,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,186.5790259391377,999.0
132,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,187.60413034215384,999.0
133,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,188.6295657339052,999.0
134,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,189.65532373985923,999.0
135,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,190.6813961657712,999.0
136,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,191.70777502185265,999.0
137,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,192.7344525094215,999.0
138,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,193.76142097915235,999.0
139,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,194.78867300515188,999.0
140,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,195.81620129924616,999.0
141,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,196.84399875260667,999.0
142,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,197.872058417773,999.0
143,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,198.90037349767954,999.0
144,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,199.9289373525824,999.0
145,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,200.95774348811466,999.0
146,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,201.9867855652762,999.0
147,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,203.01605736289622,999.0
148,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,204.04555281353993,999.0
149,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,205.07526596992162,999.0
150,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,206.10519102793617,999.0
151,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,207.1353222981879,999.0
152,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,208.16565420835045,999.0
153,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,209.19618132031832,999.0
154,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,210.22689451764109,999.0
155,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,211.25779992053958,999.0
156,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,212.28888107724245,999.0
157,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,213.3201367660056,999.0
158,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,214.35156208104843,999.0
159,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,215.38315223262433,999.0
160,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,216.41490251064297,999.0
161,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,217.4468083192522,999.0
162,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,218.47886513797678,999.0
